timestamp,turbidity_in,turbidity_out,status,phase
86747,1205.04,1246.44,alert,emergency
86991,1218.89,1260.13,alert,emergency
87236,1205.04,1260.13,alert,emergency
87482,1205.04,1246.44,alert,emergency
87727,1218.89,1260.13,alert,emergency
87972,1218.89,1273.77,alert,emergency
88217,1205.04,1260.13,alert,emergency
88462,1205.04,1246.44,alert,emergency
88708,1218.89,1260.13,alert,emergency
88952,1218.89,1260.13,alert,emergency
89198,1205.04,1246.44,alert,emergency
89443,1205.04,1260.13,alert,emergency
89688,1218.89,1260.13,alert,emergency
89933,1205.04,1246.44,alert,emergency
90178,1205.04,1246.44,alert,emergency
90424,1218.89,1260.13,alert,emergency
90669,1218.89,1260.13,alert,emergency
90914,1205.04,1246.44,alert,emergency
91159,1205.04,1260.13,alert,emergency
91404,1218.89,1260.13,alert,emergency
91650,1205.04,1246.44,alert,emergency
91894,1205.04,1246.44,alert,emergency
92140,1218.89,1260.13,alert,emergency
92385,1218.89,1260.13,alert,emergency
92630,1205.04,1246.44,alert,emergency
92875,1205.04,1260.13,alert,emergency
93120,1218.89,1260.13,alert,emergency
93366,1205.04,1246.44,alert,emergency
93611,1205.04,1246.44,alert,emergency
93855,1218.89,1273.77,alert,emergency
94101,1218.89,1260.13,alert,emergency
94346,1205.04,1246.44,alert,emergency
94592,1218.89,1260.13,alert,emergency
94836,1218.89,1273.77,alert,emergency
95082,1205.04,1260.13,alert,emergency
95327,1205.04,1246.44,alert,emergency
95571,1218.89,1273.77,alert,emergency
95817,1218.89,1260.13,alert,emergency
96062,1205.04,1246.44,alert,emergency
96308,1218.89,1260.13,alert,emergency
96552,1218.89,1273.77,alert,emergency
96797,1205.04,1260.13,alert,emergency
97043,1205.04,1246.44,alert,emergency
97288,1218.89,1260.13,alert,emergency
97533,1218.89,1273.77,alert,emergency
97778,1205.04,1246.44,alert,emergency
98023,1205.04,1260.13,alert,emergency
98269,1218.89,1273.77,alert,emergency
98513,1205.04,1246.44,alert,emergency
98759,1205.04,1246.44,alert,emergency
99004,1218.89,1260.13,alert,emergency
99250,1218.89,1260.13,alert,emergency
99494,1205.04,1246.44,alert,emergency
99739,1205.04,1260.13,alert,emergency
99985,1218.89,1260.13,alert,emergency
100230,1205.04,1246.44,alert,emergency
100476,1191.13,1246.44,alert,emergency
100722,1218.89,1260.13,alert,emergency
100968,1218.89,1273.77,alert,emergency
101215,1205.04,1260.13,alert,emergency
101460,1205.04,1246.44,alert,emergency
101707,1205.04,1246.44,alert,emergency
101953,1218.89,1260.13,alert,emergency
102200,1218.89,1273.77,alert,emergency
102446,1205.04,1260.13,alert,emergency
102691,1205.04,1246.44,alert,emergency
102938,1218.89,1260.13,alert,emergency
103184,1218.89,1273.77,alert,emergency
103431,1218.89,1260.13,alert,emergency
103676,1205.04,1260.13,alert,emergency
103923,1205.04,1260.13,alert,emergency
104169,1218.89,1273.77,alert,emergency
104415,1218.89,1273.77,alert,emergency
104662,1205.04,1260.13,alert,emergency
104907,1205.04,1246.44,alert,emergency
105154,1218.89,1260.13,alert,emergency
105400,1218.89,1273.77,alert,emergency
105647,1218.89,1260.13,alert,emergency
105892,1205.04,1246.44,alert,emergency
106138,1205.04,1260.13,alert,emergency
106385,1218.89,1273.77,alert,emergency
106631,1218.89,1273.77,alert,emergency
106877,1205.04,1260.13,alert,emergency
107123,1205.04,1246.44,alert,emergency
107370,1218.89,1260.13,alert,emergency
107616,1218.89,1273.77,alert,emergency
107862,1218.89,1260.13,alert,emergency
108108,1205.04,1246.44,alert,emergency
108354,1205.04,1260.13,alert,emergency
108601,1218.89,1273.77,alert,emergency
108847,1218.89,1273.77,alert,emergency
109093,1205.04,1260.13,alert,emergency
109339,1205.04,1260.13,alert,emergency
109585,1218.89,1273.77,alert,emergency
109832,1218.89,1273.77,alert,emergency
110077,1205.04,1260.13,alert,emergency
110324,1205.04,1246.44,alert,emergency
110570,1205.04,1260.13,alert,emergency
110817,1218.89,1273.77,alert,emergency
111063,1218.89,1260.13,alert,emergency
111308,1205.04,1246.44,alert,emergency
111555,1205.04,1246.44,alert,emergency
111801,1218.89,1273.77,alert,emergency
112048,1218.89,1273.77,alert,emergency
112293,1205.04,1260.13,alert,emergency
112539,1205.04,1246.44,alert,emergency
112786,1218.89,1260.13,alert,emergency
113032,1218.89,1273.77,alert,emergency
113278,1218.89,1260.13,alert,emergency
113524,1205.04,1260.13,alert,emergency
113771,1205.04,1260.13,alert,emergency
114017,1218.89,1273.77,alert,emergency
114263,1218.89,1273.77,alert,emergency
114509,1205.04,1246.44,alert,emergency
114755,1205.04,1246.44,alert,emergency
115002,1218.89,1273.77,alert,emergency
115248,1218.89,1273.77,alert,emergency
115494,1218.89,1260.13,alert,emergency
115740,1205.04,1260.13,alert,emergency
115986,1205.04,1260.13,alert,emergency
116233,1218.89,1273.77,alert,emergency
116478,1232.69,1273.77,alert,emergency
116725,1218.89,1260.13,alert,emergency
116971,1205.04,1260.13,alert,emergency
117218,1218.89,1273.77,alert,emergency
117464,1232.69,1273.77,alert,emergency
117709,1218.89,1260.13,alert,emergency
117956,1218.89,1260.13,alert,emergency
118202,1218.89,1260.13,alert,emergency
118449,1218.89,1273.77,alert,emergency
118694,1232.69,1273.77,alert,emergency
118941,1218.89,1260.13,alert,emergency
119187,1205.04,1260.13,alert,emergency
119433,1218.89,1273.77,alert,emergency
119680,1232.69,1273.77,alert,emergency
119925,1218.89,1260.13,alert,emergency
120172,1205.04,1260.13,alert,emergency
120418,1218.89,1260.13,alert,emergency
120665,1218.89,1273.77,alert,emergency
120910,1218.89,1273.77,alert,emergency
121156,1205.04,1260.13,alert,emergency
121403,1205.04,1246.44,alert,emergency
121649,1218.89,1273.77,alert,emergency
121895,1232.69,1273.77,alert,emergency
122141,1218.89,1260.13,alert,emergency
122388,1205.04,1246.44,alert,emergency
122634,1218.89,1260.13,alert,emergency
122880,1218.89,1273.77,alert,emergency
123126,1218.89,1260.13,alert,emergency
123372,1205.04,1260.13,alert,emergency
123619,1205.04,1260.13,alert,emergency
123865,1218.89,1260.13,alert,emergency
124111,1218.89,1273.77,alert,emergency
124357,1205.04,1260.13,alert,emergency
124603,1205.04,1246.44,alert,emergency
124850,1218.89,1260.13,alert,emergency
125095,1218.89,1273.77,alert,emergency
125342,1218.89,1260.13,alert,emergency
125588,1205.04,1246.44,alert,emergency
125835,1205.04,1260.13,alert,emergency
126081,1218.89,1273.77,alert,emergency
126326,1218.89,1273.77,alert,emergency
126573,1205.04,1260.13,alert,emergency
126819,1205.04,1246.44,alert,emergency
127066,1218.89,1260.13,alert,emergency
127311,1218.89,1273.77,alert,emergency
127558,1218.89,1260.13,alert,emergency
127804,1205.04,1246.44,alert,emergency
128050,1205.04,1260.13,alert,emergency
128296,1218.89,1273.77,alert,emergency
128542,1218.89,1260.13,alert,emergency
128789,1205.04,1246.44,alert,emergency
129035,1205.04,1246.44,alert,emergency
129282,1218.89,1260.13,alert,emergency
